역명2,구
1호선 가산디지털단지역,금천구
1호선 구로역,구로구
1호선 금천구청역,금천구
1호선 남영역,용산구
1호선 노량진역,동작구
1호선 대방역,영등포구
1호선 동대문역,종로구
1호선 동묘앞역,종로구
1호선 서울역,중구
1호선 서울역,중구
1호선 시청역,중구
1호선 신길역,영등포구
1호선 신도림역,구로구
1호선 신설동역,동대문구
1호선 영등포역,영등포구
1호선 용산역,용산구
1호선 제기동역,동대문구
1호선 종각역,종로구
1호선 종로3가역,종로구
1호선 종로5가역,종로구
1호선 청량리역,동대문구
2호선 강남역,강남구
2호선 강변역,광진구
2호선 건대입구역,광진구
2호선 교대역,서초구
2호선 구로디지털단지역,구로구
2호선 구의역,광진구
2호선 낙성대역,관악구
2호선 당산역,영등포구
2호선 대림역,구로구
2호선 도림천역,구로구
2호선 동대문역사문화공원역,중구
2호선 뚝섬역,성동구
2호선 문래역,영등포구
2호선 방배역,서초구
2호선 봉천역,관악구
2호선 사당역,동작구
2호선 삼성역,강남구
2호선 상왕십리역,성동구
2호선 서울대입구역,관악구
2호선 서초역,서초구
2호선 선릉역,강남구
2호선 성수역,성동구
2호선 시청역,중구
2호선 신답역,성동구
2호선 신당역,중구
2호선 신대방역,동작구
2호선 신도림역,구로구
2호선 신림역,관악구
2호선 신설동역,동대문구
2호선 신정네거리역,양천구
2호선 신촌역,마포구
2호선 아현역,마포구
2호선 양천구청역,양천구
2호선 역삼역,강남구
2호선 영등포구청역,영등포구
2호선 왕십리역,성동구
2호선 용답역,성동구
2호선 용두역,동대문구
2호선 을지로3가역,중구
2호선 을지로4가역,중구
2호선 을지로입구역,중구
2호선 이대역,마포구
2호선 잠실나루역,송파구
2호선 잠실새내역,송파구
2호선 잠실역,송파구
2호선 종합운동장역,송파구
2호선 충정로역,서대문구
2호선 한양대역,성동구
2호선 합정역,마포구
2호선 홍대입구역,마포구
3호선 가락시장역,송파구
3호선 경복궁역,종로구
3호선 경찰병원역,송파구
3호선 고속터미널역,서초구
3호선 교대역,서초구
3호선 구파발역,은평구
3호선 금호역,성동구
3호선 남부터미널역,서초구
3호선 녹번역,은평구
3호선 대청역,강남구
3호선 대치역,강남구
3호선 도곡역,강남구
3호선 독립문역,서대문구
3호선 동대입구역,중구
3호선 매봉역,강남구
3호선 무악재역,서대문구
3호선 불광역,은평구
3호선 수서역,강남구
3호선 신사역,강남구
3호선 안국역,종로구
3호선 압구정역,강남구
3호선 약수역,중구
3호선 양재역,서초구
3호선 연신내역,은평구
3호선 오금역,송파구
3호선 옥수역,성동구
3호선 을지로3가역,중구
3호선 일원역,강남구
3호선 잠원역,서초구
3호선 종로3가역,종로구
3호선 학여울역,강남구
3호선 홍제역,서대문구
4호선 길음역,성북구
4호선 남태령역,서초구
4호선 노원역,노원구
4호선 당고개역,노원구
4호선 동대문역,종로구
4호선 동대문역사문화공원역,중구
4호선 동작역,동작구
4호선 명동역,중구
4호선 미아사거리역,강북구
4호선 미아역,강북구
4호선 사당역,동작구
4호선 삼각지역,용산구
4호선 상계역,노원구
4호선 서울역,용산구
4호선 성신여대입구역,성북구
4호선 수유역,강북구
4호선 숙대입구역,용산구
4호선 신용산역,용산구
4호선 쌍문역,도봉구
4호선 이촌역,용산구
4호선 창동역,도봉구
4호선 총신대입구역,동작구
4호선 충무로역,중구
4호선 한성대입구역,성북구
4호선 혜화역,종로구
4호선 회현역,중구
5호선 강동역,강동구
5호선 개롱역,송파구
5호선 개화산역,강서구
5호선 거여역,송파구
5호선 고덕역,강동구
5호선 공덕역,마포구
5호선 광나루역,광진구
5호선 광화문역,종로구
5호선 군자역,광진구
5호선 굽은다리역,강동구
5호선 길동역,강동구
5호선 김포공항역,강서구
5호선 까치산역,강서구
5호선 답십리역,성동구
5호선 동대문역사문화공원역,중구
5호선 둔촌동역,강동구
5호선 마곡역,강서구
5호선 마장역,성동구
5호선 마천역,송파구
5호선 마포역,마포구
5호선 명일역,강동구
5호선 목동역,양천구
5호선 발산역,강서구
5호선 방이역,송파구
5호선 방화역,강서구
5호선 상일동역,강동구
5호선 서대문역,종로구
5호선 송정역,강서구
5호선 신금호역,성동구
5호선 신길역,영등포구
5호선 신정역,양천구
5호선 아차산역,광진구
5호선 애오개역,마포구
5호선 여의나루역,영등포구
5호선 여의도역,영등포구
5호선 영등포구청역,영등포구
5호선 영등포시장역,영등포구
5호선 오금역,송파구
5호선 오목교역,양천구
5호선 올림픽공원역,송파구
5호선 왕십리역,성동구
5호선 우장산역,강서구
5호선 을지로4가역,중구
5호선 장한평역,동대문구
5호선 종로3가역,종로구
5호선 천호역,강동구
5호선 청구역,중구
5호선 충정로역,서대문구
5호선 행당역,성동구
5호선 화곡역,강서구
6호선 고려대역,성북구
6호선 공덕역,마포구
6호선 광흥창역,마포구
6호선 구산역,은평구
6호선 녹사평역,용산구
6호선 대흥역,마포구
6호선 독바위역,은평구
6호선 돌곶이역,성북구
6호선 동묘앞역,종로구
6호선 디지털미디어시티역,은평구
6호선 마포구청역,마포구
6호선 망원역,마포구
6호선 버티고개역,중구
6호선 보문역,성북구
6호선 봉화산역,중랑구
6호선 불광역,은평구
6호선 삼각지역,용산구
6호선 상수역,마포구
6호선 상월곡역,성북구
6호선 새절역,은평구
6호선 석계역,노원구
6호선 신당역,중구
6호선 안암역,성북구
6호선 약수역,중구
6호선 역촌역,은평구
6호선 월곡역,성북구
6호선 월드컵경기장역,마포구
6호선 응암역,은평구
6호선 이태원역,용산구
6호선 증산역,은평구
6호선 창신역,종로구
6호선 청구역,중구
6호선 태릉입구역,노원구
6호선 한강진역,용산구
6호선 합정역,마포구
6호선 화랑대역,노원구
6호선 효창공원앞역,용산구
7호선 가산디지털단지역,금천구
7호선 강남구청역,강남구
7호선 건대입구역,광진구
7호선 고속터미널역,서초구
7호선 공릉역,노원구
7호선 군자역,광진구
7호선 남구로역,구로구
7호선 남성역,동작구
7호선 내방역,서초구
7호선 노원역,노원구
7호선 논현역,강남구
7호선 대림역,영등포구
7호선 도봉산역,도봉구
7호선 자양역,광진구
7호선 마들역,노원구
7호선 먹골역,중랑구
7호선 면목역,중랑구
7호선 반포역,서초구
7호선 보라매역,동작구
7호선 사가정역,중랑구
7호선 상도역,동작구
7호선 상봉역,중랑구
7호선 수락산역,노원구
7호선 숭실대입구역,동작구
7호선 신대방삼거리역,동작구
7호선 신풍역,영등포구
7호선 어린이대공원역,광진구
7호선 온수역,구로구
7호선 용마산역,중랑구
7호선 이수역,동작구
7호선 장승배기역,동작구
7호선 중계역,노원구
7호선 중곡역,광진구
